groupid,groupid_connected
34230886,86113785
34230886,23390361
34230886,23390361
34230886,76906453
34230886,76906453
34230886,23390361
34230886,76906453
34230886,23390361
34230886,23390361
34230886,76906453
34230886,23390361
34230886,76906453
34230886,76906453
34230886,76906453
34230886,76906453
34230886,23390361
34230886,76906453
34230886,76906453
34230886,76906453
34230886,76906453
34230886,58858984
34230886,76906453
34230886,76906453
34230886,76906453
34230886,89805342
34230886,89805342
34230886,76906453
34230886,76906453
34230886,76906453
34230886,94259146
34230886,76906453
34230886,76906453
34230886,58858984
34230886,58858984
34230886,58858984
34230886,58858984
34230886,58858984
34230886,89805342
34230886,76906453
34230886,76906453
34230886,76906453
34230886,89805342
34230886,76906453
34230886,94061066
34230886,76906453
34230886,58858984
34230886,58858984
34230886,58858984
34230886,58858984
34230886,58858984
34230886,76906453
34230886,76906453
34230886,89805342
34230886,76906453
34230886,76906453
34230886,89805342
34230886,76906453
34230886,76906453
34230886,76906453
34230886,76906453
34230886,89805342
34230886,76906453
34230886,76906453
34230886,89805342
34230886,76906453
34230886,76906453
34230886,76906453
34230886,42552001
34230886,76906453
34230886,76906453
34230886,76906453
34230886,76906453
34230886,76906453
34230886,76906453
34230886,42552001
34230886,76906453
34230886,76906453
34230886,42552001
34230886,42552001
34230886,89805342
34230886,89805342
34230886,58858984
34230886,76906453
34230886,89805342
34230886,89805342
34230886,89805342
34230886,58858984
34230886,32164903
34230886,76906453
34230886,70365191
34230886,32164903
34230886,32164903
34230886,76791337
34230886,70365191
34230886,70365191
34230886,32164903
34230886,76791337
34230886,76791337
34230886,76791337
34230886,76791337
34230886,76791337
34230886,76791337
34230886,76791337
34230886,42552001
34230886,70365191
34230886,76791337
34230886,76791337
34230886,76791337
34230886,76791337
34230886,34491673
34230886,76791337
34230886,42552001
34230886,42552001
34230886,34491673
34230886,76791337
34230886,42552001
34230886,42552001
34230886,70365191
34230886,70365191
34230886,70365191
34230886,32164903
34230886,23390361
34230886,76660217
34230886,33159467
34230886,33159467
34230886,33159467
34230886,23390361
34230886,33159467
34230886,33159467
