groupid,groupid_connected
34230886,130336613
34230886,130336613
34230886,102636214
34230886,102636214
34230886,102636214
34230886,102636214
34230886,102636214
34230886,102636214
34230886,102636214
34230886,102636214
34230886,102636214
34230886,102636214
34230886,102636214
34230886,102636214
34230886,74889711
34230886,102636214
34230886,33898099
34230886,102636214
34230886,102636214
34230886,102636214
34230886,33898099
34230886,102636214
34230886,33898099
34230886,102636214
34230886,74889711
34230886,102636214
34230886,102636214
34230886,102636214
34230886,33898099
34230886,33898099
34230886,102636214
34230886,102636214
34230886,86113785
34230886,33898099
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,33898099
34230886,74889711
34230886,86113785
34230886,86113785
34230886,33898099
34230886,86113785
34230886,86113785
34230886,33898099
34230886,74889711
34230886,86113785
34230886,33898099
34230886,33898099
34230886,86113785
34230886,33898099
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,23390361
34230886,86113785
34230886,86113785
34230886,47826135
34230886,86113785
34230886,23390361
34230886,47826135
34230886,86113785
34230886,23390361
34230886,23390361
34230886,86113785
34230886,23390361
34230886,86113785
34230886,23390361
34230886,86113785
34230886,23390361
34230886,86113785
34230886,74889711
34230886,86113785
34230886,74889711
34230886,86113785
34230886,86113785
34230886,47826135
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,47826135
34230886,86113785
34230886,74889711
34230886,86113785
34230886,74889711
34230886,86113785
34230886,74889711
34230886,86113785
34230886,86113785
34230886,47826135
34230886,86113785
34230886,74889711
34230886,86113785
34230886,47826135
34230886,86113785
34230886,86113785
34230886,47826135
34230886,23390361
34230886,42552001
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,58858984
34230886,86113785
34230886,58858984
34230886,23390361
34230886,86113785
34230886,42552001
34230886,86113785
34230886,58858984
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,58858984
34230886,42552001
34230886,86113785
34230886,42552001
34230886,86113785
34230886,86113785
34230886,58858984
34230886,32164903
34230886,86113785
34230886,86113785
34230886,86113785
34230886,86113785
34230886,70365191
34230886,86113785
34230886,58858984
34230886,58858984
34230886,58858984
34230886,58858984
34230886,58858984
34230886,23390361
